,Course Code,Course Title,Description,Curriculum Category
131,CSP3275,Functional Framework for Stream Assessment and Restoration,"This course offers a framework for assessing stream functions to individuals involved in stream assessment and restoration/mitigation projects. The framework can be used for pre- and post- restoration conditions on restoration/mitigation sites. The framework can also be used on streams not associated with restoration activities, like a proposed impact site. In this case, the assessment would establish baseline conditions or a description of functions that may be lost due to the permitted impact. In addition to providing functional assessment techniques, this course also provides suggested performance standards where possible and may be used as a template for IRTs when developing stream assessment protocols and performance standards for their stream mitigation Standard Operating Procedures (SOP). A combination of lecture, field sessions, and classroom exercises will provide practical experiences in evaluating stream functions as related to assessment and restoration/mitigation projects.  Objectives: • Provide a hierarchical framework for assessing stream functions. Key functions include hydrology, hydraulics, geomorphology, water quality, and biology are presented. • Provide example performance standards for key parameters that can be used to directly or indirectly measure a function. • Describe methods that can be used to measure key performance standard parameters. • Use class room exercises to gain understanding and experience on measuring key performance standard parameters. • Discuss the application of the hierarchical framework in the field, while assessing impaired streams and evaluating completed stream restoration projects • Discuss how the functional hierarchy can be used to create stream debits and credits for compensatory mitigation. • Provide a case study showing how a functional assessment may be applied to a stream restoration project. Target Audience: Field staff involved in the development and review of stream assessment and restoration/mitigation projects.",Habitat Assessment Restoration and Management
132,CSP3129,Inland Oil Spill Response for DOI,"S  U  T Target Audience: Department of Interior personnel whose responsibilities include overseeing, planning or participating in an inland spill response.  ummary and Objectives: The purpose of the training is to prepare agencies within the Department of the Interior to plan for and respond to inland oil spills. Participants learn agency roles in inland oil spills affecting resources under the trusteeship of the Department of the Interior. Response procedures are described for inland and freshwater environments. Emphasis is placed on planning for an emergency response and coordinating the multi agency response within the Incident Command System as led by EPA.  opics covered include: regulations under OPA 90; Area Contingency Plans; NRDA response coordination; science of oil spills; shoreline cleanup assessment technique (SCAT); health and safety requirements for spill response; wildlife rescue and rehabilitation operations; and emerging risks. An in-depth Incident Command System (ICS) spill drill exercise will expose participants to several roles in all aspects of coordination, communication, and decision making using guidelines and authorities of ICS. Working effectively with Tribes and State partners will be emphasized. Participants with current HAZWOPER certification can obtain their required OSHA 8-hour refresher training for hazardous waste workers during this course.  pon completion of this course, you will be able to: Identify DOI roles and responsibilities during oil spill response • Describe the principles and basic structure of the Incident Command System (ICS) and Unified Command (UC) and how DOI responders • integrate into the system Using OSHA requirements, determine safety and PPE requirements for DOI responders • Identify oil properties, behavior and environmental fate & effects • Assess the spill using the Shoreline Cleanup Assessment Technique (SCAT) • Identify on-water response strategies and environmental cleanup methods and endpoints • Develop sampling plan for ephemeral data collection • Collect environmental samples • Demonstrate spill-response reporting procedures required by the Department of the Interior •",Safety and Emergency Response
133,CLM3167,Critical Writing/Critical Thinking,"This intensive, hands-on writing course is designed to achieve excellence in writing through clarity in thinking. Critical thinking involves evaluating information to reach a well-justified decision or recommendation and critical writing is the clear, unambiguous communication of your information. The goal of this course is to develop your skills as a writer and editor/reviewer in order to make FWS policy and science writing clear, well- organized, persuasive, and logical.  OBJECTIVES:  Engage the various stages of the writing process (invention, arrangement, selection, writing, revision, and editing) when composing documents. Consider the essential elements of content, organization, tone, and clarity when writing. Construct sound, logical, and compelling arguments. Develop, organize, and link ideas resulting in clear, persuasive, and logical writing. Use critical thinking skills to differentiate between fact and opinion, identify author bias, develop inferential skills, and recognize logical fallacies and faulty reasoning. Apply simple techniques (such as the IRAC format) that make your documents analytical, reasoned, and understandable. Write well-organized sentences, paragraphs, and documents using proper conventions with reference to legal and biological standards. Apply grammar, sentence structure, and plain language rules. Diagnose problems in writing samples and determine improvements that could strengthen the piece. Edit and revise your writing so that it is concise, contains relevant information, and is free of errors.  TARGET AUDIENCE:  This course is designed for individuals who are competent in basic writing skills but are interested in strengthening their ability to communicate through their government writing. This class is designed for technical staff who want to construct more compelling, logical, and persuasive arguments and whose job it is to write or review a variety of regulatory program documents, including findings, decision documents, technical reports, recommendations, comment letters, informational documents, and planning documents. This course does not cover how to write journal articles for publication in scientific journals. For this type of training, please see Scientific Writing for Publication – Course and Clinic (CSP3182).",Communications
134,CLM2113-Online,National Wildlife Refuge Appropriate Use and Compatibility Determination,"Appropriate use and compatibility are two core concepts for managing our National Wildlife Refuge System as a network of lands and waters setaside for the conservation of fish, wildlife, plants, and their habitats. This self-paced, online training course offers you an understanding and basicknowledge of the authorities and mandates that establish the appropriate use and compatibility standards.As you hike along the virtual trail, you will determine if a proposed use is appropriate and if it requires a compatibility determination. Watch yourscreen for the blue goose! When you see this, it’s an opportunity to earn a stamp for your Blue Goose Passport. Once you earn 30 stamps, you willbe able to access the “Final Assessment” where you will be asked to write a draft compatibility determination for review and approval by yoursupervisor. Your supervisor must then go into DOI Learn and mark you as complete. The job aid for doing so can be found athttp://training.fws.gov/courses/CLM/CLM2113/content/Supervisor_Guidance.pdf.  When you are marked as complete, you can print yourcertificate and receive full credit for the course.Objectives:Given a proposal for a use, determine if it is a refuge use.Given a proposal for a refuge use, determine if the use is appropriate.Given an appropriate use, determine if a compatibility determination is required.Given a proposal for a refuge use that is both appropriate and requires a compatibility determination, complete requireddocumentation and prepare a draft compatibility determination.Target Audience: U.S. Fish & Wildlife Service project leaders, refuge managers, biologists, visitor services managers, and other refuge staff whoare tasked with preparing appropriate use findings and compatibility determinations.",Refuge Land Policy
135,ALC3159,USFWS/USGS Structured Decision Making Workshops,"This workshop provides participants with skills required to develop structured approaches to natural resources decisions. Participants will beexposed to the concepts of critical thinking, logic, and decision analysis. The workshop emphasizes experiential learning combining mentoringlectures, exercises, case illustrations, and discussion. Objectives: Understand the concepts and demonstrate the application of decision analysis and critical thinking techniques by providing participants withknowledge to decompose problems, analyze information, express uncertainty and use methods for addressing uncertainty in decisions, reachdefensible conclusions, and prepare documents that describe process and reasoning that supports decisions. Understand various decision tools to fit different decision problems, such as decision trees, multiple objective ranking techniques, and using expertpanels. Target Audience: Biologists, managers, and decision makers with the responsibility to prepare, evaluate, or make decisions using scientifically-based naturalresources information. Workshop content is geared toward assisting biologists and managers working on complex problems involving uncertaintyand challenging decisions.",Decision Analysis
136,LED6201,Project Leader Academy,"Target audience: New Project Leaders in their first 18 months from all program areas of the Service. Assistant Project Leaders and Deputy Project Leaders may also attend on a space available basis. More experienced Project Leaders (18 months to approximately four years) may attend through Regional Recommendation. For the purposes of this program, a Project Leader is someone from any program area who is the head of a field station and where supervision of staff and budget responsibilities is required. Summary and Objectives: This competitive academy covers general knowledge and skills needed for Project Leaders* to be successful across all program areas in the Service. The focus is on effective leadership, engaging and supervising others, training and development, change management, budget and administrative requirements, developing and maintaining partnerships, and leveraging resources. Prior to the first day of class, participants must have completed an entry level supervision course such as Supervisory Skills Workshop (SSW). If the course you completed was not SSW, please complete the following prerequisite online courses: DOI-SUPV-OLT-105 - Managing Employee Performance DOI-SUPV-OLT-106 - Conduct and Performance-Based Actions Upon completion of this course, participants should be able to: Obtain and utilize 360° performance feedback to better model the practices of exemplary leadership. • Manage, lead, and develop staff so employees can achieve their full potential. • Address performance, conduct, and/or conflict situations. • Execute effective budget and finance responsibilities. • Leverage resources by developing and maintaining effective partnerships. • Understand key elements of working with Congressional staff and the media. • Apply emotional intelligence knowledge and skills to more effectively lead in times of change. • Provide and elicit feedback resulting in deeper self-awareness and continual learning. • * For the purposes of this program, a Project Leader is someone from any program area who is the head of a field station and where supervision of staff and budget responsibilities is required. For more information, please contact the PLA Course Leader, Stephanie Engle at 304-876-7344 or stephanie_engle@fws.gov.",Academies
137,CLM4307,Refuge Management Academy,"T  OSelection of participants in this Academy is determined by a nomination process from each Regional Office. PLEASE DO NOT APPLY HERE. Discuss attendance with your supervisor, who can then provide your name to the Region to be considered for nomination. If you are nominated, your Regional Office will notify you and NCTC will follow up with enrollment information. he Refuge Management Academy provides an overview of the programs, policies, issues and mandates affecting the operation of the National Wildlife Refuge System. bjectives: 1. Demonstrate basic skills in communications, conflict resolution and negotiations, team problem solving and media relations. 2. Identify the basic concepts and procedures for refuge compatibility determinations, refuge planning strategies, and refuge budgeting. 3. Describe the National Wildlife Refuge System's role and responsibilities for endangered species, migratory birds, biological diversity, fire management, wilderness management, cultural resources, public outreach and visitor safety. 4. From a historical and current perspective, describe FWS philosophy, policy, legal mandates and goals for managing the National Wildlife Refuge System. 5. Identify various techniques, procedures and approaches that a refuge could develop and use in its resource management and public outreach programs.  Target Audience: FWS staff new to the National Wildlife Refuge System (refuge operations specialists, wildlife biologists, outdoor recreation planners, and environmental education specialists). Note: Selection of participants is determined by a nomination process by each Regional office. Contact your Regional office to inquire how to be considered for nomination to the academy.",Academies
138,CLM7179,Realty for Refuge Personnel,"Refuge employees outside the Division of Realty play an important role in supporting U.S. Fish & Wildlife Service (Service) land conservation. Bygaining a better understanding of the Service’s Realty program, refuge personnel will be able to work more effectively with Realty program staff onprojects to conserve important wildlife habitat as part of the National Wildlife Refuge System. In addition, refuge personnel will be able tocommunicate information about the Service's land conservation process and associated timelines to landowners interested in conserving wildlifehabitat.This one-week course is designed to provide a solid understanding of the Realty program to refuge personnel who work in support of Service landconservation. The course provides an overview of the tools, resources, and processes that refuge personnel must understand to effectively supportRealty land conservation activities.OBJECTIVES:Upon completion of this course, you will be able to:Efficiently work with realty personnel as they perform key elements of fee and easement conservation projects, including prioritization,appraisal, negotiation, due diligence, and funding;Describe the overall Service land conservation process and associated timelines to landowners and other interested parties; andIdentify the main funding sources that enable Service land conservationTARGET AUDIENCE:U.S. Fish & Wildlife Service refuge and area supervisors, project leaders, refuge managers, planners, and all others who work in support of theService’s land conservation objectives, but are outside of the Realty program",Refuge Land Policy
139,CSP2111,Evaluating Acoustic Bat Surveys for ESA Compliance,"This course will cover the basics of how to properly evaluate acoustic study plans, data and reports for presence/probable absence surveys of bats with a primary focus on the federally endangered Indiana bat (Myotis sodalis) and other bat species within its range. Participants will get hands-on experience interpreting acoustic bat data and critically evaluating reports received for federal and/or state regulatory review. Field exercises also will provide hands-on experience with proper calibration and set-up of acoustic detectors in the field, data collection and analysis, species identification, and reporting. Upon completion of this course, participants will be able to: follow the most recent Range-wide Indiana Bat Summer Survey Guidelines for acoustically assessing presence/probable absence of bats critically evaluate bat acoustic surveys and reports for scientific integrity and compliance describe the advantages and disadvantages of sampling bats using acoustics properly set up and utilize bat detectors to maximize detectability process and analyze acoustic data using each of the FWS-approved software programs TARGET AUDIENCE: Natural resource professionals monitoring wild bat populations or interpreting acoustic monitoring data coming in from the field.",Habitat Assessment Restoration and Management
140,CSP2202A-OLT,Electrofishing Safety,"*This course can be used for crew member safety training. You can retake this course yearly for recertification purposes.*Increase knowledge of and skills in electrofishing safety that will result in reduced incidents and injuries to crew members while maintainingefficient job performance. For U.S. Fish & Wildlife Service employees, the Service electrofishing safety policy (241 FW6) states that:• 6.6 C. “All members of the electrofishing team must receive an electrofishing safety orientation at least once per season and prior to the start ofelectrofishing activities or when they join the team during the field season.”• This course is part of the electrofishing safety orientation that will be given to you by your team leader.By the end of this session, the participant will be able to:• Recognize and appreciate the risks inherent in electrofishing sampling• Discuss the purpose and value of safety policy documents• Operate equipment in a safer manner",Safety and Emergency Response
141,CSP3157,Introduction to Conservation Genetics,"This course will familiarize you with a number of basic terms and concepts in conservation genetics.To access the course content, you can go directly to this URL:http://nctc.fws.gov/courses/csp/csp3157/content/The content is available for anyone to complete free of charge and does NOT require you to 'enroll' in the course in DOI Learn. To get credit for thiscourse, you will need to enroll in DOI Learn and then pass the final exam. There is no cost to take the exam for employees of the US Fish andWildlife Service, and the National Park Service. The cost to take the exam for all others is $50.00. To pay for the self study online voucher to takethe final exam, click on this link and purchase a 'self study online class': https://pay.gov/public/form/start/73282193 using a credit card. Makesure to note the course code (CSP3157) and the student name(s) you are making payment for. Once you have completed this process, return toDOI Learn and click on the course details, and click 'enroll'.This course is a required prerequisite to apply for the new course 'Applied Conservation Genetics' (CSP3148). To pass the exam and meet theprerequisite requirement, you do NOT have to go through the course content if you already know it - you may just take the exam. Therefore, if youfeel you can pass the final exam without exploring the course content, feel free to register and take the exam. If you pass, you are done. If you donot pass, you can go back to the course content, explore what you need to learn or review, and then come back and take the exam again. Onlyyour final score counts, and you need a score of at least 70% correct to pass. You may take the exam as many times as you would like once youhave access to it.",Wildlife Biology and Field Techniques
142,DOI-SUPV-OLT-110,Supervisory Safety Skills,Identify and implement agency’s safety and health responsibilities. Describe employees’ safety and health rights and explain how to protectthem. Apply and foster safe and healthful work place.Keyword: DOI-SUPV-OLT-110,Leadership and Supervision
143,CSP3200,Stream Habitat Measurement Techniques,"The purpose of this course is to provide the knowledge and skills required to participate in studies assessing physical habitat characteristics of streams. Techniques learned may be applied to a variety of programs including in-stream flow (e.g., IFIM), monitoring, restoration, habitat quality (e.g., HEP), and fish-habitat relationship studies. Classroom presentations (approximately 45%) are integrated with ample hands-on field activities (approximately 55%). Attributes characterized, measured, or identified include stream regional setting (ecoregion, watershed, hydrologic unit, and physiographic province), basin geomorphic properties, land cover types, hydrology, channel dimensions and roughness, channel structure and pattern, mesohabitat types, discharge, velocity, depth, substrate type and embeddedness, cover, bank condition, and riparian vegetation. Discussions and exercises will address additional topics as site selection, transect and sampling point placement, and reach mapping (cross- sectional, longitudinal, and plan views). From stream reach surveys, participants will complete a comprehensive written habitat assessment and classification for a nearby reach. Participants also will learn to operate equipment used to survey and measure habitat variables.  Objectives:  Upon completion of this course, you will be able to: •  Determine watershed regional setting and identification; •  Measure drainage basin characteristics; •  Take elevations using sight and laser level surveying equipment; •  Conduct cross-section and longitudinal profile surveys of a stream reach; • Identify bankful and determine bankfull elevations; •  Take substrate measurements by point-count and wet-sieving; •  Use spreadsheets to plot survey and substrate data; •  Take micro-habitat measurements; •  Determine discharge return interval and exceedance values; and •  Classify a stream reach using the Rosgen methodology. Target Audience: Personnel with minimal stream experience involved with habitat assessment projects. *NOTE: This course is a pre-requisite to the CSP3210 Applied Fluvial Geomorphology-Level 1 course. This requirement can be waived on a case-by-case basis. This requirement applies ONLY to FWS employees.",Habitat Assessment Restoration and Management
144,CSP1103,Freshwater Mussel Identification,"The purpose of this course is to develop the participant's freshwater mussel identification skills and knowledge of regional freshwater mussel species. Participants will learn an overall system for identifying mussels and characteristics of major taxonomic groups within the families Unionidae and Margaritiferidae and will provide the basis to approach species-level identification. Although emphasis will be placed on the Ohio River fauna (including the Tennessee River) specimens will be available from across the country. This course is 'hands on' and laboratory and field exercises will provide shells and fresh specimens for identification.  Course Objectives:  Upon completion of this course, participants will be able to:  1) Identify unknown freshwater mussels by following methods as described in the course;  2) Use proper freshwater mussel collection labeling and preservation techniques;  3) Use distributional maps as an aid to freshwater mussel identification;  4) Use dichotomous keys  5) Discuss identification tricks-of-the-trade  Target Audience  Natural resource professionals needing freshwater mussel identification skills for restoration and recovery efforts.",Aquatic Species Biology and Conservation
145,CSP3115,Endangered Species Listing and Candidate Assessment,"Target Audience: Open only to National Oceanic and Atmospheric Administration (NOAA) and U.S. Fish and Wildlife Service endangered species program employees whose duties include Endangered Species Act Section 4 listing and candidate assessment and conservation responsibilities. Summary and Objectives: This course provides basic information regarding all aspects of endangered species petition management, candidate assessment, Policy for Evaluation of Conservation Efforts evaluation, critical habitat designation, and listing/delisting determinations. Case studies and interactive exercises are used to reinforce instruction. Upon completion of this course, participants will be able to: • Identify the Service's obligations and authorities for listing species as threatened or endangered under Section 4 of the ESA and how these obligations relate to other parts of the ESA; • Define a species, including distinct population segments; • Explain Service compliance responsibilities related to candidate assessment and listing under the Freedom of Information Act, Federal Advisory Committee Act, and Administrative Procedure Act; • Identify how to establish and maintain a complete administrative record of the Service's actions associated with a species' review for listing and/or critical habitat designation; • Describe the steps for placing and prioritizing a species on the candidate list; • Describe how prelisting conservation influences the need for listing of species; • Describe the management of petitions to list or delist species or to designate critical habitats; • Identify the steps for determining if critical habitat designation is prudent and determinable; and • Describe the need for and steps involved in developing an outreach strategy for the entire listing process. Prerequisite: Endangered Species Act of 1973 - Overview (CSP3114).  Note that if you enroll in this course you will be added to the wait list, but not enrolled, until you complete this prerequisite.",Conservation Policy
146,OUT8072,"Recruit, Retain, Reactivate Training (R3)","Target Audience: Recruit, Retain, Reactivate Coordinators/Practitioners Summary  and  Objectives: The  R3 Training will provide R3 Coordinators and Practitioners with the training, tools and job aids needed to understand  and expand customer engagement.  The  training  will also  help  R3  practitioners develop  the  skills and  competencies  to  expand outdoor recreation programs to a broad constituency and increase participation in outdoor recreation activities.  Upon completion of this course, participants will be able to: •Apply the Adaptive Management Model to R3 work•Develop strategies for changing agency and stakeholder culture•Engage stakeholders in R3 planning and implementation•Perform customer engagement and outreach activities to increase outdoor recreation participation•Evaluate and update the R3 Plan",Visitor Services
147,CSP7100,GIS Introduction,"The GIS Introduction is 3.5-day course designed to instruct the fundamentals of using ArcMap, ArcCatalog and Layout (ArcGIS Desktop 10.4.1-Advanced).  Short presentations on geospatial background topics are followed by targeted hands-on exercises which include the manipulation ofdata layers,  symbology,  rudimentary spatial analysis,  data creation, and editing.  Data derives from the Moosehorn National Wildlife Refuge andexercises are developed around real world problems commonly encountered within the Refuges throughout the country.The course concludes will the creation of a final mapping project using data from Moosehorn NWR.OBJECTIVES:Define GIS and ArcGIS for Desktop (Advanced) 10.4.1softwareDescribe the capabilities and functionality of ArcMap, ArcCatalog and ArcToolboxDisplay, manipulate, create and organize data layers using ArcGIS for DesktopUse ArcGIS to answer specific spatial questionsTARGET AUDIENCE:Students new to Geospatial technology and those who need a “just in time” refresher with ArcGIS",Geospatial Technologies
148,CSP2323,Freshwater Biomonitoring Using Benthic Macroinvertebrates,"This course presents practices and concepts of using macroinvertebrates to monitor the environmental health or integrity of freshwaterecosystems. During this field-based course, participants will be directed to properly sample, identify benthic macroinvertebrates (usually to thefamily level), and use multimetric indices to assess biotic integrity of a number of stream locations. Sites will comprise a range of impairment levelsand stream sizes. Discussion will focus upon multimetric index development, and the effects of different types of pollution and environmental stresson assemblages of organisms and underlying ecological principles.OBJECTIVES: Explain study and sampling designsDemonstrate the proper use of a wide variety of sampling equipmentApply ecological principles and important aspects of macroinvertebrate ecology that are included in the concept of biological integrityExplain and practice contemporary methods for analyzing data and reaching conclusions about the status of biological integrity.  Keytechniques or concepts include: metrics, multimetric indices, multivariate analyses, and delineation of reference or impaired condition; withemphasis on the evaluation of stream habitat restoration projectsDescribe the major types of pollution and environmental stressors, their causes, and what effects these stressors have on benthicmacroinvertebrate assemblagesIdentify the advantages and disadvantages of using macroinvertebrates, with emphasis on the evaluation of stream habitat restorationprojects TARGET AUDIENCE: Biologists with some experience in aquatic ecology and invertebrates who are looking to develop or enhance their specialization in biomonitoringwith macroinvertebrates, especially for evaluation of stream habitat restoration projects or other site remediation efforts.Prerequisite: Ability to identify aquatic macroinvertebrates as provided in Macroinvertebrate Ecology and Identification, CSP2221 isrecommended.",Aquatic Species Biology and Conservation
149,CLM8251,Visitor Services Planning,"Having a plan for a station’s visitor services program is important to ensure resources are used effectively. This course will enable FWS employees responsible for visitor services to develop a plan for a visitor services program at a field station that is consistent with current guidance, the station’s CCP and, is effective at providing direction the station’s program management. This online course includes six 90-minute training sessions as well as assignments to be completed outside of the scheduled instruction sessions.  Objectives: • Explain the importance of planning as a tool to effectively accomplish the station’s purpose and agency’s mission.  • Evaluate a CCP to determine the appropriate process to develop the VS Step-down plan;  • Develop a visitor services step-down plan that meets both agency and field station needs.  Target Audience: FWS employees responsible for writing visitor services plans, including step-down plans.",Visitor Services
150,CSP3155,Survey Methods for Frog Abnormalities on National Wildlife Refuges,"Objectives: The purpose of this training is to provide instruction on proper survey methods, handling techniques, and measuring and datagathering protocols. Principles described also have applications for more general amphibian surveys at any location. The manual provideddescribes the phenomena of frog malformations, contains standard procedures for malformed frog surveys, and provides equipment lists andtypical field forms for data collection. In addition, the training includes the USGS Field Guide to Malformations of Frogs and Toads. The videodemonstrates field survey, sample handling, and shipping techniques and describes use of the field forms provided in the manual.Target Audience: Biologists who are sampling wetlands to determine the percentage of abnormal-appearing frogs and toads, primarily at FWSNational Wildlife Refuges.Primary Contact: Jim Siegel; jim_siegel@fws.gov; 304.876.7479",Wildlife Biology and Field Techniques
151,CSP2300,Fish Population Dynamics and Assessment,"The goal of this course is to provide a set of tools useful for managing fish resources. This course will focus on techniques associated with the twofundamental activities for successful management:  1) monitoring fish populations with sufficient rigor to characterize key population attributes important to management objectives (e.g., growth,mortality, abundance, and size distribution); and2) predicting how key population attributes might change with implementation of management actions.Students will learn basic parameter estimation, fisheries modeling and a framework to estimate key population attributes using monitoring data.The methods covered in this course could apply to exploited fisheries applications (e.g., managing harvest) as well as conservation (e.g.,endangered species). Students will learn how to use models to communicate ideas about the behavior of fish populations and to predict howpopulations might change with changing environmental or management drivers. The course will utilize case histories and actual fisheries data toelaborate these concepts. Students will build estimation and simulation models in Microsoft Excel.Objectives: 1. Become familiar with common fisheries population models to describe growth, mortality, recruitment, and fishing.2. Conduct parameter estimation using least squares and likelihood approaches in a spreadsheet framework.3. Explore the role of monitoring in contemporary fisheries management and research.4. Use of simulation modeling to evaluate the efficacy of monitoring designs and to predict the outcome of management actions.Target Audience: Federal and state fisheries managers and researchers interested in learning how to use fish population dynamics concepts andmodels to better assess and manage fish resources.",Statistics and Modeling
152,CSP2203,Electrofishing Sampling Advanced Practicum,"Participants will apply components within a framework to increase electrofishing capture efficiency and sampling precision.  Time will be allocatedamong field trials, threshold experiments, electrode design evaluation, data analysis, electric field mapping and standardization, development ofvoltage, amperage, and power goal tables, power capability analysis of gear, and sampling advantages of various electrofishing gear types.  Thisexperience will be hands-on and intensive.  All electrofishing gear types brought by participants can be included.  Additional outcomes includeevaluation of your gear and derivation of goal tables for standardization specific to your electrofishing equipment.  Fleets of equipment (particularlyboats) will be comparatively evaluated for standardization among gear. PREREQUISITE: There is a firm prerequisite: Principles and Techniques of Electrofishing (Online) CSP2c01 or classroom/field CSP2201 must becompleted prior to registering for this course. OBJECTIVES:  The student will:• Select appropriate electrofishing gear for specific project applications;• Conduct lab experiments to identify effective waveforms, capture-prone responses, and response thresholds of target species;• Evaluate electrode designs (in terms of power demand, power allocation and effective field size);• Map electric fields;• Collect field data to develop power, voltage, and amperage goal tables for candidate electrical waveforms;• Standardize electric fields;• Field test effectiveness of candidate waveforms following derived goal tables; and• Compare the successful electrofishing range of control box models with required power, voltage, and amperage levelsTARGET AUDIENCE: Fisheries biologists sampling with electrofishing",Aquatic Species Biology and Conservation
153,ALC3125,Developing a Conservation Agreement,"This course will introduce those new to developing conservation agreements to the basics of Candidate Conservation Agreements with and without Assurances and Safe Harbor Agreements and how to communicate with prospective and participating landowners about their needs and those of the species of interest. The course emphasizes working with the landowners so that you start with a sound foundation for an agreement that will work over time. You work with the landowner and then develop an agreement to fit their particular situation. Before signing up for the class, you should read the two documents listed below to ensure these are the types of agreements you will be working with. This course only covers these three types of agreements. Objectives: Upon completion of this course, you will be able to: Explain what CCAs, CCAAs and SHAs are and their purposes using plain language. Explain the differences between these agreements to a landowner using plain language. Describe which situations are best suited for these types of agreements. Follow the 5 step process to develop one of these agreements. Target Audience: FWS staff and potential agreement cooperators (including State agencies and NGOs) with no or limited experience in developing voluntary agreements for non-Federal properties. URL to access external material(copy and paste into your browser): http://www.fws.gov/endangered/esa-library/pdf/harborqa.pdf and http://www.fws.gov/endangered/esa-library/pdf/CCAs.pdf",Conservation Policy
154,CLM2139,Field Techniques for Invasive Plant Management,"This course introduces participants to invasive plant management at the field level. Instruction will include invasive plant ecology; road maintenance and its influence on the introduction and distribution of invasives; mapping and monitoring invasive plants; invasive control methods; the proper and safe use of recommended equipment; and applicable Refuge System policy. Other topics include preparing pesticide use proposals, interpreting herbicide labels, and identifying Best Management Practices. College Credit: 2 semester hours. Objectives: Upon completion of this course, you will be able to: ·  Describe the ecological characteristics of invasive plants and describe some of their impacts on the landscape Identify methods and tools for conducting invasive plant inventories, early detection monitoring and effectiveness monitoring · ·  Use the most current tools and techniques to map invasive species Identify prevention best management practices · ·  Prioritize invasive species and areas for management ·  Describe appropriate control methods and timing regimes for effective control of invasive plants · Interpret pesticide labels and identify elements required for Pesticide Use Proposals ·  Demonstrate proper and safe use of equipment used in the control of invasive plants  Target Audience: Refuge managers, biologists, Managers, biologists, other refuge staff (especially refuge maintenance staff), and natural resource professionals who are interested in beginning or expanding an invasive plant management program.",Habitat Assessment Restoration and Management
155,LED5240,USFWS Foundations: Discover Your Service!,"The main focus of this course is to provide skills for working with others to accomplish the mission of the Service. The course provides an introduction to public service and the FWS organization, an overview of FWS related legislated mandates, FWS and conservation history, and foundations in valuing diversity, communication, conflict resolution and group dynamics. Views of the FWS are also provided by corporate partners, FWS leadership and other bureaus within the Department of Interior. Keywords: Orientation, New Employee, Welcome. Objectives: Apply the skills for working successfully with others, inside or outside the organization, to accomplish the FWS mission. Target Audience: The course is mandatory for all permanent FWS employees in two grade interval positions such as biologists, realty specialists, contract specialists, engineers, refuge operations specialists, and others who are within their first year on the job.",Leadership and Supervision
156,CSP3117,Habitat Conservation Planning For Endangered Species,"This course addresses the basic steps and processes regarding Habitat Conservation Planning under Section 10(a)(1)(B) of the Endangered Species Act. Case studies and interactive exercises are used to reinforce lecture sessions.  Objectives:  Explain the legal and policy background that forms the basis of the Section 10(a)(1)(B) permit process; Describe the role of the Fish & Wildlife Service, National Marine Fisheries Service, the applicant, and other parties in the Section 10(a) (1)(B) process; Explain how to provide guidance in developing a Habitat Conservation Plan (HCP) that meets statutory and biological requirements; Initiate and develop the Section 10(a)(1)(B) documents necessary to complete the HCP process; List permit processing steps, from submission of the application to permit issuance; Describe statutory permit issuance criteria and explain biological standards and FWS and NMFS policies involved in the permit issuance decision; Identify post-issuance compliance and options for corrective actions; and Explain relationships among HCP's, NEPA, and Section 7.  Pre-requisite: Endangered Species Act of 1973 – Overview Please click on this link to register for this course: Endangered Species Act of 1973 - Overview  Target Audience: Individuals responsible for assisting in the development of Habitat Conservation Plans.",Conservation Policy
157,SAF4A02,MOCC - Airboat Operator Module,"NOTE: The US Fish and Wildlife Service’s MOCC-Airboat Operator Module is scheduled through the Regional Watercraft Safety Coordinators. Please follow the link to view the class dates/locations and the contact person for your region.  DO NOT SUBMIT AN APPLICATION THROUGH DOI LEARN FOR THIS COURSE.  The Airboat Module (ABM) is an entry-level course on airboat operation. Completion of the MOCC is a prerequisite for the ABM. In addition, ABMinstructors can add a prerequisite of at least 20 hours of airboat operation time under the on-board supervision of an airboat operator who has atleast 40 hours of airboat operation time and a thorough knowledge of the airboat(s) being operated and area(s) of operation. At least 40 hours ofon-board-supervised airboat operating time (supervisor specifications same as above) is required before DOI personnel are allowed to operate anairboat independently. Objectives: Understand the operating principles of an airboatUnderstand the control panel and purpose of each gaugeIdentify and describe each part of an airboatPerform a pre-trip safety inspectionDemonstrate how to start, stop, and turn and airboat in both shallow and deep waterOperate an airboat at minimum and optimal cruising speedsDemonstrate docking, beaching, and loading/unloading an airboat",Safety and Emergency Response
